determined_at,type,special_key,meta_key,target.target_id,masked_key,gid,target.target_type,shift_key,control_key
2171,KEY_UP,Meta,,65cd98e7-9814-45c2-a30d-c667da9c35e4,,55234539,body,,
7382,KEY_DOWN,Shift,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,,55234539,text,True,
8083,KEY_UP,Shift,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,,55234539,text,,
8100,KEY_DOWN,,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,1100.0,55234539,text,,
8169,KEY_UP,,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,1100.0,55234539,text,,
8303,KEY_DOWN,,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,7792.0,55234539,text,,
8372,KEY_UP,,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,7792.0,55234539,text,,
8462,KEY_DOWN,,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,7861.0,55234539,text,,
8554,KEY_UP,,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,7861.0,55234539,text,,
8573,KEY_DOWN,,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,75.0,55234539,text,,
8618,KEY_DOWN,,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,86.0,55234539,text,,
8694,KEY_UP,,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,75.0,55234539,text,,
8779,KEY_UP,,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,86.0,55234539,text,,
8999,KEY_DOWN,Backspace,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,,55234539,text,,
9065,KEY_UP,Backspace,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,,55234539,text,,
9161,KEY_DOWN,Backspace,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,,55234539,text,,
9227,KEY_UP,Backspace,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,,55234539,text,,
9317,KEY_DOWN,Backspace,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,,55234539,text,,
9387,KEY_UP,Backspace,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,,55234539,text,,
9478,KEY_DOWN,Backspace,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,,55234539,text,,
9549,KEY_UP,Backspace,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,,55234539,text,,
9639,KEY_DOWN,Backspace,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,,55234539,text,,
9710,KEY_UP,Backspace,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,,55234539,text,,
9828,KEY_DOWN,Shift,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,,55234539,text,True,
10039,KEY_DOWN,,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,122.0,55234539,text,True,
10110,KEY_UP,,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,122.0,55234539,text,True,
10231,KEY_UP,Shift,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,,55234539,text,,
10399,KEY_DOWN,,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,7792.0,55234539,text,,
10446,KEY_UP,,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,7792.0,55234539,text,,
10579,KEY_DOWN,,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,7861.0,55234539,text,,
10650,KEY_UP,,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,7861.0,55234539,text,,
10713,KEY_DOWN,,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,75.0,55234539,text,,
10780,KEY_DOWN,,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,86.0,55234539,text,,
10830,KEY_UP,,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,75.0,55234539,text,,
10920,KEY_UP,,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,86.0,55234539,text,,
11163,KEY_DOWN,Tab,,21acb60f-12a7-46f7-a06b-977e6ce7e73b,,55234539,text,,
11296,KEY_UP,Tab,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,,55234539,text,,
11605,KEY_DOWN,Shift,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,,55234539,text,True,
12578,KEY_DOWN,,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,7704.0,55234539,text,True,
12661,KEY_UP,Shift,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,,55234539,text,,
12670,KEY_UP,,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,7888.0,55234539,text,,
12802,KEY_DOWN,,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,113.0,55234539,text,,
12873,KEY_DOWN,,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,644.0,55234539,text,,
12984,KEY_UP,,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,113.0,55234539,text,,
13013,KEY_UP,,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,644.0,55234539,text,,
